"","fips","aveBMI","avePM.idw","per.black","per.latinx","per.asnam","per.white","med.hinc","med.hval","lt.HS","female.unemp","male.unemp","climate.region"
"1",1001,27.29144005,10.765714,0.168627058,0.020721758,0.008533961,0.787351719,53255,133900,23.3,4.6,5.6,"southeast"
"2",1003,27.31590865,10.04301258,0.086865146,0.036946006,0.007081437,0.852557937,50147,177200,21,5.6,6,"southeast"
"3",1007,27.75271707,11.45562976,0.22372135,0.017500282,0.00079,0.747826578,41770,81200,26.6,7.4,7.8,"southeast"
"4",1009,28.50054017,10.81523233,0.012125139,0.06303221,0.002059422,0.909038319,45549,113700,22.4,7.8,7,"southeast"
"5",1015,28.44751463,11.779339,0.192692955,0.027043282,0.007140826,0.757758677,38407,98200,18.1,12.2,8.9,"southeast"
"6",1019,27.9214891,12.12438633,0.044508642,0.008372913,0.001566861,0.930568477,40690,97100,39.2,12.1,6.5,"southeast"
"7",1027,28.59507038,10.536283,0.140526511,0.024193548,0.001668521,0.820263255,35595,82900,33.6,12.1,9.2,"southeast"
"8",1033,28.6013768,10.546957,0.154856819,0.015167241,0.003844884,0.812213993,39610,94700,24.3,7,6.8,"southeast"
"9",1043,27.51110755,10.597479,0.010199951,0.03365984,0.004144742,0.938282199,38567,102200,20.2,7.3,7.1,"southeast"
"10",1045,28.62305066,10.271717,0.176364695,0.046487002,0.011833536,0.740721131,43353,93900,21.4,8.4,5.4,"southeast"
"11",1049,28.69504561,11.498058,0.014674933,0.10022183,0.002426862,0.854558899,35065,84400,34.4,7.1,8.8,"southeast"
"12",1051,28.94200468,10.765714,0.19488085,0.023466896,0.006584593,0.761650934,53128,136500,30.8,6.5,6.6,"southeast"
"13",1055,28.92853631,11.76189835,0.142384765,0.024998757,0.006053901,0.813248968,36422,98200,28.1,8.8,9.1,"southeast"
"14",1059,28.95049539,10.546957,0.038427654,0.117422494,0.001678064,0.83064144,33942,78200,32.1,7.2,7.4,"southeast"
