ent,Date,pm25,bc,Sodium,Al,Si,S,Cl,K,Ca,Ti,V,Cr,Mn,Fe,Ni,Cu,Zn,As,Se,Br,Ba,Pb
1827,1/1/03,8,0.68213194,0.1193,0.0194,0.0265,0.7499,0.0027,0.0297,0.0231,7.00E-04,0.0033,5.00E-04,0,0.026,0.0026,0.0054,0.0072,0,0,0.002,0,0.0028
1828,1/2/03,7.6,0.37207326,0.4017,0.0263,0.0956,0.5468,0.0239,0.0439,0.0428,0.0032,0.0044,9.00E-04,0,0.0686,0.0055,0.0056,0.0244,0.0012,0,0.0151,0.0206,0.0057
1829,1/3/03,4.5,0.41831667,0.2933,0.0281,0.0191,0.3856,0.0044,0.0182,0.0332,0.0018,0.0056,5.00E-04,0,0.0369,0.0025,0.0026,0.0094,0,4.00E-04,0,0.0099,0.0042
1830,1/4/03,5.2,0.36056667,0.1355,0.0117,0.0075,0.4801,0.0022,0.0247,0.0167,0.0028,0.0026,0,4.00E-04,0.0211,0.0025,0.0033,0.0043,5.00E-04,0,0.0018,0.0076,0.0043
1831,1/5/03,12.4,0.35911354,0.0771,0.0102,0.0212,0.9243,0.0034,0.043,0.0145,0.0011,0.0042,8.00E-04,0,0.0346,0.0045,0.003,0.0069,0.0019,0,6.00E-04,0.0022,0.0028
1832,1/6/03,17.4,1.09344965,0.2272,0.0387,0.0294,1.3946,0.0043,0.0505,0.0261,0.0014,0.01,4.00E-04,0.0023,0.1031,0.0094,0.0033,0.0256,8.00E-04,0,0,0.0256,0.0031
1833,1/7/03,11.3,0.55182083,0.0881,0.0217,0.0252,0.9428,0.0018,0.0383,0.0214,0.0022,0.0032,6.00E-04,0,0.0651,0.0044,0.0037,0.0148,0.0019,0,0,0.0037,0.0025
1834,1/8/03,11.6,0.64147083,0.109,0.0118,0.0189,1.1079,0.0022,0.03,0.0154,0.0024,0.004,8.00E-04,0.0013,0.047,0.0038,0.0035,0.0096,0,4.00E-04,8.00E-04,0.0026,0.0038
1835,1/9/03,13.2,1.00802431,0.1408,0.0376,0.1001,1.0768,0.0079,0.05,0.0326,0.0038,0.0061,0.0015,0,0.1368,0.0074,0.009,0.0368,0.0015,0,0.0016,0.0157,0.0035
1836,1/10/03,8,0.79111771,0.2004,0.0401,0.0528,0.6331,0.0019,0.0318,0.0254,0.0019,0.0033,0,0,0.0546,0.0018,0.0049,0.014,0,0,4.00E-04,0.0295,0.0045
1837,1/11/03,6.2,0.24518472,0.0976,0.0373,0.0646,0.6099,0.0251,0.0303,0.0312,0.0021,0.0015,0,0,0.0445,0.0027,0.0023,0.0052,0.0013,0,0.0019,5.00E-04,0.0044
1838,1/12/03,7,0.24655174,0.0873,0.0264,0.0433,0.693,0.022,0.0295,0.0234,0.0026,0.0032,1.00E-04,0.002,0.0394,0.0033,0.002,0.0064,7.00E-04,0.0018,0.002,0.01,0.0083
1839,1/13/03,7.9,0.35497757,0.0806,0.0418,0.072,0.6335,3.00E-04,0.0278,0.0285,0.0027,0.0013,0,0.0024,0.0512,0.0018,0.0013,0.0123,4.00E-04,0,3.00E-04,0.0074,0.0041
1840,1/14/03,7.6,0.39285382,0.115,0.0347,0.0664,0.6492,0.0023,0.0356,0.0257,0.0026,0.0033,3.00E-04,0,0.0568,0.0025,0.0051,0.0114,0,0,0,0.002,0.0048
