"STATION","NAME","DATE","AWND","PRCP","SNOW","TAVG","TMAX","TMIN"
"USW00014739","BOSTON, MA US","2003-01-01","12.53","0.43","0.0","40","44","36"
"USW00014739","BOSTON, MA US","2003-01-02","17.90","0.05","0.2","30","37","23"
"USW00014739","BOSTON, MA US","2003-01-03","20.36","0.51","0.0","32","38","26"
"USW00014739","BOSTON, MA US","2003-01-04","18.12","0.50","0.4","33","38","28"
"USW00014739","BOSTON, MA US","2003-01-05","6.93","0.00","0.1","30","34","25"
"USW00014739","BOSTON, MA US","2003-01-06","6.71","0.07","1.4","27","29","25"
"USW00014739","BOSTON, MA US","2003-01-07","13.42","0.01","0.2","25","30","20"
"USW00014739","BOSTON, MA US","2003-01-08","12.97","0.05","0.9","29","38","20"
"USW00014739","BOSTON, MA US","2003-01-09","7.61","0.07","0.1","36","40","32"
"USW00014739","BOSTON, MA US","2003-01-10","10.74","0.05","0.0","32","39","25"
"USW00014739","BOSTON, MA US","2003-01-11","16.33","0.00","0.0","27","31","22"
"USW00014739","BOSTON, MA US","2003-01-12","15.21","0.00","0.0","30","34","25"
"USW00014739","BOSTON, MA US","2003-01-13","15.66","0.00","0.0","30","37","23"
"USW00014739","BOSTON, MA US","2003-01-14","14.09","0.00","0.0","21","26","16"
"USW00014739","BOSTON, MA US","2003-01-15","12.75","0.00","0.0","20","26","14"
"USW00014739","BOSTON, MA US","2003-01-16","13.65","0.00","0.0","23","28","18"
"USW00014739","BOSTON, MA US","2003-01-17","10.74","0.01","0.2","20","30","10"
"USW00014739","BOSTON, MA US","2003-01-18","8.95","0.00","0.0","10","18","2"
"USW00014739","BOSTON, MA US","2003-01-19","9.84","0.00","0.0","18","24","12"
"USW00014739","BOSTON, MA US","2003-01-20","19.01","0.00","0.0","23","30","16"
"USW00014739","BOSTON, MA US","2003-01-21","20.13","0.00","0.0","16","21","10"
"USW00014739","BOSTON, MA US","2003-01-22","22.37","0.00","0.0","13","18","7"
"USW00014739","BOSTON, MA US","2003-01-23","14.54","0.00","0.0","10","16","3"
"USW00014739","BOSTON, MA US","2003-01-24","16.11","0.00","0.0","17","26","7"
"USW00014739","BOSTON, MA US","2003-01-25","11.41","0.00","0.0","22","29","14"
"USW00014739","BOSTON, MA US","2003-01-26","8.28","0.01","0.1","27","34","20"
"USW00014739","BOSTON, MA US","2003-01-27","18.12","0.02","0.3","15","27","3"
"USW00014739","BOSTON, MA US","2003-01-28","13.65","0.00","0.0","11","21","1"
"USW00014739","BOSTON, MA US","2003-01-29","8.05","0.03","0.3","24","28","20"
"USW00014739","BOSTON, MA US","2003-01-30","7.83","0.00","0.0","27","34","19"
"USW00014739","BOSTON, MA US","2003-01-31","9.84","0.00","0.0","33","37","28"
"USW00014739","BOSTON, MA US","2003-02-01","11.41","0.10","0.2","33","34","32"
"USW00014739","BOSTON, MA US","2003-02-02","17.22","0.46","1.1","36","39","33"
"USW00014739","BOSTON, MA US","2003-02-03","13.65","0.00","0.0","41","45","36"
"USW00014739","BOSTON, MA US","2003-02-04","11.41","0.15","0.0","41","46","35"
"USW00014739","BOSTON, MA US","2003-02-05","19.46","0.00","0.0","31","39","22"
"USW00014739","BOSTON, MA US","2003-02-06","11.41","0.00","0.0","25","30","20"
"USW00014739","BOSTON, MA US","2003-02-07","8.28","0.45","11.0","26","28","24"
