state,state_fips_code,climate.region
AL,1,southeast
AZ,4,southwest
AR,5,south
CA,6,west
CO,8,southwest
CT,9,northeast
DE,10,northeast
FL,12,southeast
GA,13,southeast
ID,16,northwest
IL,17,ohio_valley
IN,18,ohio_valley
IA,19,upper_midwest
KS,20,south
KY,21,ohio_valley
LA,22,south
ME,23,northeast
MD,24,northeast
MA,25,northeast
MI,26,upper_midwest
MN,27,upper_midwest
MS,28,south
MO,29,ohio_valley
MT,30,rockies
NE,31,rockies
NV,32,west
NH,33,northeast
NJ,34,northeast
NM,35,southwest
NY,36,northeast
NC,37,southeast
ND,38,rockies
OH,39,ohio_valley
OK,40,south
OR,41,northwest
PA,42,northeast
RI,44,northeast
SC,45,southeast
SD,46,rockies
TN,47,ohio_valley
TX,48,south
UT,49,southwest
VT,50,northeast
VA,51,southeast
WA,53,northwest
WV,54,ohio_valley
WI,55,upper_midwest
WY,56,rockies
